Product_issue_count,TRANS.STATE,TRANS.Product
1,AA,Mortgage
1,AP,Mortgage
46,CA,Other financial service
27,FL,Other financial service
27,NY,Other financial service
26,TX,Other financial service
17,IL,Other financial service
16,NJ,Other financial service
15,NC,Other financial service
14,VA,Other financial service
13,OH,Other financial service
12,MA,Other financial service
10,GA,Other financial service
10,PA,Other financial service
9,TN,Other financial service
8,WA,Other financial service
7,OR,Other financial service
7,WI,Other financial service
6,MI,Other financial service
6,MO,Other financial service
5,AL,Other financial service
5,DC,Other financial service
5,MN,Other financial service
5,SC,Other financial service
4,AZ,Other financial service
4,CO,Other financial service
4,CT,Other financial service
4,IN,Other financial service
4,WV,Other financial service
3,KS,Other financial service
3,MD,Other financial service
2,KY,Other financial service
2,ME,Other financial service
2,MS,Other financial service
2,NH,Other financial service
2,OK,Other financial service
1,AR,Other financial service
1,DE,Other financial service
1,FM,Other financial service
1,IA,Other financial service
1,LA,Other financial service
1,NM,Other financial service
1,NV,Other financial service
1,RI,Other financial service
1,UT,Other financial service
1,WY,Other financial service
342,CA,Payday loan
335,TX,Payday loan
147,OH,Payday loan
144,FL,Payday loan
109,NJ,Payday loan
107,PA,Payday loan
104,VA,Payday loan
87,IL,Payday loan
83,GA,Payday loan
79,TN,Payday loan
77,MI,Payday loan
72,LA,Payday loan
67,NC,Payday loan
65,MD,Payday loan
65,MO,Payday loan
63,AL,Payday loan
58,WI,Payday loan
57,NY,Payday loan
53,NV,Payday loan
50,CO,Payday loan
50,IN,Payday loan
50,OK,Payday loan
48,AZ,Payday loan
44,SC,Payday loan
36,MA,Payday loan
36,RI,Payday loan
32,MN,Payday loan
32,WA,Payday loan
27,DC,Payday loan
27,OR,Payday loan
26,MS,Payday loan
24,KS,Payday loan
23,IA,Payday loan
23,KY,Payday loan
23,NM,Payday loan
18,AR,Payday loan
16,DE,Payday loan
16,NH,Payday loan
15,ID,Payday loan
14,UT,Payday loan
13,NE,Payday loan
11,CT,Payday loan
9,ME,Payday loan
6,WY,Payday loan
4,HI,Payday loan
4,MT,Payday loan
4,SD,Payday loan
3,AK,Payday loan
1,VT,Payday loan
198,CA,Prepaid card
101,NY,Prepaid card
90,TX,Prepaid card
82,FL,Prepaid card
70,GA,Prepaid card
62,NJ,Prepaid card
59,IL,Prepaid card
50,OH,Prepaid card
44,MI,Prepaid card
43,PA,Prepaid card
39,MA,Prepaid card
38,VA,Prepaid card
34,MD,Prepaid card
34,NC,Prepaid card
33,WA,Prepaid card
29,TN,Prepaid card
26,AZ,Prepaid card
25,WI,Prepaid card
22,MO,Prepaid card
21,OR,Prepaid card
20,CO,Prepaid card
20,NV,Prepaid card
19,CT,Prepaid card
18,MN,Prepaid card
17,LA,Prepaid card
16,AL,Prepaid card
15,SC,Prepaid card
11,DC,Prepaid card
11,IN,Prepaid card
9,IA,Prepaid card
8,KS,Prepaid card
8,KY,Prepaid card
7,NM,Prepaid card
7,OK,Prepaid card
6,AR,Prepaid card
6,DE,Prepaid card
6,NE,Prepaid card
5,ME,Prepaid card
5,MS,Prepaid card
4,NH,Prepaid card
4,UT,Prepaid card
4,VT,Prepaid card
3,HI,Prepaid card
